Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
PSA,Public Storage,Consumer Services,0.63%,-0.06%,0.03%,0.12%,0.83%,0.03%,-0.04%,0.61,0.08,0.03%,1.24%,1.80%,1.34%,0.30%,0.03%,1.40,8,15.32%,0.26%,1.82%,0.52,7.23%,3.29%,0.04%,1.12%,3.11%,0.09%,-4.22%,26,54.17%,62.50%,0.45,0.38,0.79,0.01,0.38,0.06%,2.56%,1.35,01/02/1990,08/21/2015
PSX,Phillips 66 Common Stock,Energy,0.81%,-0.39%,0.09%,0.21%,0.88%,0.08%,-0.35%,0.05,0.38,0.05%,1.23%,-1.33%,1.04%,-0.22%,0.17%,0.81,3,-3.95%,0.27%,1.15%,0.22,-0.04%,1.35%,0.15%,-1.47%,1.49%,-0.60%,-2.47%,8,44.44%,0.00%,0.21,0.38,0.12,-1.29,-0.74,0.07%,1.77%,1.23,04/12/2012,08/21/2015
PVH,Phillips-Van Heusen Corp.,Consumer Non-Durables,0.98%,-0.08%,0.05%,0.20%,1.36%,0.04%,-0.01%,1.00,0.15,0.04%,1.76%,1.44%,1.55%,0.24%,0.04%,1.24,8,12.13%,0.30%,2.07%,0.23,13.89%,4.39%,0.05%,0.80%,2.36%,0.13%,-7.12%,26,54.17%,50.00%,0.35,0.10,0.61,-0.05,0.27,0.06%,2.70%,1.19,01/02/1990,08/21/2015
PWR,Quanta Services,Capital Goods,0.79%,0.25%,0.02%,0.15%,1.02%,0.02%,0.15%,0.11,0.40,0.03%,1.36%,4.62%,1.64%,0.76%,0.01%,1.46,8,43.53%,0.30%,2.08%,0.62,13.30%,5.85%,0.03%,4.80%,4.80%,0.59%,-3.71%,30,62.50%,75.00%,0.01,0.36,0.72,0.46,0.84,0.06%,2.82%,1.42,02/12/1998,08/21/2015
PX,Praxair,Basic Industries,0.73%,0.09%,0.04%,0.13%,0.88%,0.04%,0.25%,0.39,0.11,0.02%,1.08%,2.33%,1.04%,0.38%,0.04%,1.00,8,20.25%,0.19%,1.35%,0.64,9.94%,3.56%,0.05%,1.83%,2.94%,0.31%,-4.40%,32,66.67%,75.00%,0.12,0.41,0.75,0.13,0.65,0.04%,1.82%,1.01,06/17/1992,08/21/2015
PXD,Pioneer Natural Resources Company,Energy,0.92%,0.17%,0.06%,0.16%,1.09%,0.06%,0.23%,0.46,0.25,0.03%,1.41%,4.13%,1.86%,0.68%,0.07%,1.51,8,38.21%,0.33%,2.28%,0.49,13.02%,4.13%,0.08%,1.52%,1.52%,0.52%,0.62%,30,62.50%,100.00%,0.16,0.40,0.68,0.36,0.69,0.07%,3.11%,1.54,08/08/1997,08/21/2015
QCOM,Qualcomm Inc.,Technology,0.95%,0.08%,0.04%,0.19%,1.33%,0.04%,0.03%,0.93,0.45,0.03%,1.53%,2.09%,1.24%,0.35%,0.03%,1.09,8,18.01%,0.24%,1.69%,0.59,8.39%,3.15%,0.04%,1.30%,2.45%,0.14%,-2.40%,26,54.17%,62.50%,0.28,0.29,0.66,0.07,0.47,0.05%,2.02%,0.96,12/16/1991,08/21/2015
R,Ryder System,Consumer Services,0.82%,0.05%,0.03%,0.15%,1.06%,0.03%,0.10%,0.76,0.48,0.03%,1.46%,2.42%,1.63%,0.40%,0.03%,1.79,8,21.08%,0.31%,2.19%,0.67,16.64%,4.12%,0.04%,0.46%,2.43%,0.33%,-2.40%,29,60.42%,50.00%,0.21,0.38,0.84,0.10,0.42,0.06%,2.55%,1.23,01/02/1990,08/21/2015
RAI,Reynolds American Inc,Consumer Non-Durables,1.49%,-0.44%,0.11%,0.28%,1.91%,0.09%,-0.19%,0.07,0.44,0.05%,2.27%,-0.48%,0.91%,-0.08%,0.06%,0.61,8,-3.81%,0.17%,1.17%,0.60,5.05%,3.23%,0.05%,-0.61%,2.96%,0.07%,-6.01%,25,52.08%,37.50%,0.47,0.45,0.54,-0.55,-0.16,0.03%,1.38%,0.51,06/15/1999,08/21/2015
RCL,Royal Caribbean Cruises Ltd,Consumer Services,0.75%,-0.17%,0.03%,0.15%,1.01%,0.02%,-0.07%,0.52,0.19,0.03%,1.47%,1.06%,1.95%,0.18%,0.02%,2.06,8,8.81%,0.39%,2.74%,0.37,17.74%,7.96%,0.03%,2.82%,6.23%,0.32%,-17.28%,26,54.17%,75.00%,0.45,0.16,0.78,-0.09,0.15,0.08%,3.54%,1.70,04/28/1993,08/21/2015
REGN,Regeneron Pharmaceuticals,Health Care,1.41%,0.01%,0.16%,0.27%,1.90%,0.15%,0.13%,0.80,0.09,0.06%,2.62%,1.85%,2.15%,0.31%,0.14%,2.03,8,15.80%,0.41%,2.86%,0.40,16.09%,5.87%,0.15%,0.45%,6.18%,0.05%,-6.36%,25,52.08%,50.00%,0.61,0.31,0.73,0.01,0.25,0.08%,3.41%,1.13,04/02/1991,08/21/2015
RF,Regions Financing TR I,Finance,0.88%,0.00%,0.00%,0.19%,1.30%,0.00%,-0.13%,0.98,0.47,0.04%,1.88%,3.07%,2.44%,0.51%,-0.07%,2.27,8,27.42%,0.49%,3.42%,0.66,20.20%,5.57%,-0.06%,1.22%,2.92%,0.36%,-8.54%,27,56.25%,75.00%,0.33,0.50,0.69,0.14,0.35,0.10%,4.59%,1.95,03/26/1990,08/21/2015
RHI,Robert Half International Inc.,Technology,0.74%,-0.06%,0.02%,0.13%,0.93%,0.01%,-0.12%,0.44,0.49,0.03%,1.33%,1.61%,1.27%,0.27%,0.02%,1.37,8,13.60%,0.26%,1.78%,0.20,14.94%,3.36%,0.02%,0.16%,1.23%,0.17%,-3.59%,26,54.17%,50.00%,0.71,0.05,0.79,-0.03,0.34,0.05%,2.35%,1.20,03/10/1992,08/21/2015
RHT,Red Hat,Technology,1.10%,0.15%,0.04%,0.20%,1.39%,0.05%,0.19%,0.42,0.39,0.04%,1.89%,2.80%,1.56%,0.46%,0.04%,1.01,8,24.74%,0.26%,1.83%,0.52,11.17%,3.48%,0.05%,0.71%,1.32%,0.64%,-1.54%,29,60.42%,75.00%,0.10,0.26,0.57,0.19,0.58,0.06%,2.55%,1.07,08/11/1999,08/21/2015
RIG,Transocean Inc.,Energy,1.26%,-0.50%,-0.02%,0.26%,1.80%,-0.03%,-0.35%,0.07,0.49,0.04%,1.68%,-1.68%,1.75%,-0.28%,-0.04%,1.18,8,-12.70%,0.36%,2.54%,0.68,6.71%,3.95%,-0.04%,-1.35%,2.58%,-0.27%,-10.80%,21,43.75%,37.50%,0.40,0.19,0.48,-0.49,-0.26,0.06%,2.72%,1.22,05/28/1993,08/21/2015
RL,Ralph Lauren Corp.,Consumer Non-Durables,1.04%,0.05%,0.03%,0.19%,1.32%,0.03%,-0.10%,0.92,0.11,0.03%,1.51%,2.32%,1.45%,0.38%,0.03%,1.06,8,20.13%,0.27%,1.88%,0.45,14.01%,3.39%,0.04%,1.19%,2.36%,0.52%,-4.06%,29,60.42%,87.50%,0.22,0.42,0.58,0.10,0.47,0.05%,2.44%,1.17,06/12/1997,08/21/2015
ROK,Rockwell Automation Inc,Capital Goods,0.58%,0.03%,0.03%,0.12%,0.81%,0.03%,0.10%,0.82,0.09,0.02%,1.10%,2.48%,1.38%,0.41%,0.03%,1.61,8,21.61%,0.28%,1.95%,0.45,13.42%,3.90%,0.04%,2.44%,3.22%,0.30%,-5.15%,28,58.33%,75.00%,0.20,0.08,0.85,0.12,0.48,0.05%,2.42%,1.33,01/02/1990,08/21/2015
ROP,Roper Industries,Capital Goods,0.60%,0.23%,0.04%,0.12%,0.82%,0.04%,0.10%,0.19,0.20,0.02%,1.10%,3.55%,1.07%,0.58%,0.04%,1.12,8,32.22%,0.21%,1.47%,0.40,14.85%,4.47%,0.06%,3.21%,3.21%,0.36%,-2.65%,30,62.50%,75.00%,0.05,0.06,0.78,0.38,0.92,0.05%,2.02%,1.12,02/13/1992,08/21/2015
ROST,Ross Stores,Consumer Services,1.02%,0.33%,0.10%,0.19%,1.33%,0.10%,0.11%,0.17,0.05,0.04%,1.88%,3.00%,1.18%,0.49%,0.08%,0.88,8,26.71%,0.20%,1.41%,0.39,11.18%,3.69%,0.09%,3.50%,3.49%,0.42%,-1.01%,30,62.50%,62.50%,0.04,0.37,0.64,0.27,0.81,0.04%,1.92%,0.81,01/02/1990,08/21/2015
RRC,Range Resources Corp.,Energy,0.98%,-0.03%,0.05%,0.19%,1.30%,0.04%,-0.12%,0.71,0.08,0.04%,1.77%,1.91%,1.36%,0.32%,0.04%,1.06,8,16.36%,0.28%,1.99%,0.03,12.94%,4.07%,0.05%,1.77%,2.56%,-0.01%,-4.37%,22,45.83%,62.50%,0.85,0.00,0.55,0.03,0.37,0.07%,2.96%,1.29,12/28/1992,08/21/2015
RSG,Republic Services,Public Utilities,1.14%,0.05%,0.03%,0.26%,1.81%,0.03%,0.15%,0.45,0.39,0.04%,1.70%,1.56%,1.23%,0.26%,0.02%,1.01,8,13.16%,0.26%,1.78%,0.94,8.17%,3.73%,0.03%,1.86%,3.19%,0.28%,-7.41%,30,62.50%,75.00%,0.09,0.30,0.58,-0.04,0.33,0.04%,1.76%,0.80,07/01/1998,08/21/2015
RTN,Raytheon Company,Capital Goods,1.12%,0.04%,0.05%,0.22%,1.51%,0.05%,0.08%,0.78,0.47,0.04%,1.66%,1.32%,0.93%,0.22%,0.04%,0.54,8,11.08%,0.17%,1.17%,0.37,5.92%,2.99%,0.04%,1.23%,2.98%,0.25%,-3.67%,29,60.42%,62.50%,0.22,0.27,0.48,-0.10,0.43,0.03%,1.50%,0.68,01/02/1990,08/21/2015
SBUX,Starbucks Corp.,Consumer Services,0.96%,0.09%,0.03%,0.19%,1.28%,0.03%,0.10%,0.44,0.20,0.04%,1.55%,2.42%,1.44%,0.40%,0.03%,0.98,8,21.06%,0.24%,1.70%,0.69,14.17%,5.34%,0.04%,3.75%,4.41%,0.75%,-6.43%,30,62.50%,62.50%,0.06,0.15,0.59,0.13,0.54,0.05%,2.24%,1.06,06/26/1992,08/21/2015
SCG,Scana Corp.,Public Utilities,1.12%,-0.02%,0.03%,0.20%,1.36%,0.03%,0.06%,0.92,0.07,0.03%,1.48%,0.98%,0.80%,0.16%,0.03%,0.56,8,8.12%,0.15%,1.03%,0.61,3.28%,1.37%,0.03%,0.51%,0.85%,0.03%,-1.04%,25,52.08%,75.00%,0.49,0.49,0.56,-0.20,0.37,0.03%,1.29%,0.62,01/02/1990,08/21/2015
SCHW,The Charles Schwab Corp.,Finance,0.79%,-0.04%,0.02%,0.13%,0.93%,0.02%,-0.18%,0.65,0.09,0.03%,1.19%,2.09%,1.71%,0.35%,0.02%,1.53,8,17.99%,0.30%,2.06%,0.77,11.89%,3.73%,0.03%,1.58%,2.44%,0.41%,-2.82%,26,54.17%,62.50%,0.33,0.18,0.76,0.06,0.39,0.06%,2.67%,1.42,01/02/1990,08/21/2015
SE,Spectra Energy Corp,Public Utilities,1.03%,0.08%,0.02%,0.21%,1.45%,0.02%,-0.01%,0.92,0.11,0.03%,1.14%,2.16%,1.28%,0.36%,0.03%,0.76,8,18.62%,0.23%,1.62%,0.99,7.50%,3.73%,0.03%,2.43%,3.68%,0.11%,-3.53%,25,52.08%,75.00%,0.32,0.11,0.48,0.08,0.51,0.04%,1.79%,0.98,01/03/2007,08/21/2015
SEE,Sealed Air Corp.,Basic Industries,0.74%,-0.15%,0.01%,0.13%,0.92%,0.01%,0.01%,0.42,0.37,0.03%,1.50%,0.86%,1.13%,0.14%,0.01%,1.09,8,7.06%,0.21%,1.49%,0.16,9.67%,3.74%,0.01%,0.46%,3.07%,0.12%,-6.03%,26,54.17%,50.00%,0.69,0.10,0.75,-0.19,0.22,0.05%,2.25%,1.07,02/29/1988,08/21/2015
SHW,Sherwin-Williams Company,Consumer Services,1.08%,0.19%,0.08%,0.21%,1.44%,0.08%,0.05%,0.46,0.49,0.04%,1.80%,2.27%,1.07%,0.37%,0.06%,0.87,8,19.66%,0.21%,1.45%,0.40,7.83%,2.58%,0.07%,1.38%,1.47%,0.24%,-0.64%,28,58.33%,75.00%,0.11,0.24,0.61,0.11,0.60,0.04%,1.82%,0.79,01/02/1990,08/21/2015
SIAL,Sigma-Aldrich Corp.,Consumer Durables,0.48%,0.05%,0.06%,0.09%,0.61%,0.06%,0.02%,0.79,0.03,0.03%,1.26%,2.04%,1.05%,0.34%,0.06%,1.22,8,17.54%,0.20%,1.37%,0.60,7.01%,2.63%,0.07%,2.02%,2.02%,0.30%,-1.39%,28,58.33%,75.00%,0.21,0.37,0.91,0.06,0.57,0.04%,1.88%,1.00,03/26/1990,08/21/2015
SIG,Signet Jewelers Limited,Consumer Services,1.21%,0.08%,0.05%,0.25%,1.76%,0.05%,0.03%,0.96,0.45,0.05%,2.13%,2.31%,1.95%,0.38%,0.04%,2.04,8,20.01%,0.39%,2.72%,0.83,18.85%,4.96%,0.05%,0.57%,3.17%,0.17%,-7.81%,27,56.25%,62.50%,0.59,0.26,0.77,0.07,0.32,0.06%,2.90%,1.12,06/03/1998,08/21/2015
SJM,J.M. Smucker Company,Consumer Non-Durables,1.13%,-0.12%,0.10%,0.20%,1.40%,0.09%,0.02%,0.44,0.18,0.05%,2.30%,0.53%,0.66%,0.09%,0.05%,0.38,8,4.35%,0.12%,0.81%,0.07,3.63%,1.28%,0.05%,0.09%,0.90%,0.05%,-1.15%,27,56.25%,62.50%,0.95,0.08,0.48,-0.35,0.25,0.03%,1.41%,0.52,08/29/2000,08/21/2015
SLB,Schlumberger N.V.,Energy,0.87%,0.10%,0.02%,0.16%,1.12%,0.02%,0.00%,0.57,0.23,0.03%,1.23%,3.04%,1.72%,0.50%,0.02%,1.57,8,27.11%,0.31%,2.17%,0.89,15.77%,3.40%,0.03%,1.46%,1.46%,0.31%,-1.05%,29,60.42%,75.00%,0.26,0.27,0.74,0.20,0.53,0.06%,2.52%,1.33,01/02/1990,08/21/2015
SLG,Sl Green Realty Corp.,Consumer Services,0.67%,-0.24%,0.02%,0.12%,0.84%,0.01%,-0.12%,0.07,0.43,0.03%,1.43%,0.44%,1.87%,0.07%,-0.01%,1.87,8,3.59%,0.36%,2.52%,0.59,8.18%,5.27%,0.00%,0.85%,5.39%,0.28%,-11.96%,26,54.17%,62.50%,0.94,0.23,0.76,-0.18,0.07,0.09%,3.95%,1.93,08/15/1997,08/21/2015
SNA,Snap-On Inc.,Capital Goods,0.54%,-0.07%,0.05%,0.10%,0.67%,0.04%,-0.09%,0.72,0.15,0.03%,1.21%,1.42%,1.03%,0.24%,0.05%,1.26,8,11.98%,0.21%,1.49%,0.16,12.58%,3.56%,0.06%,1.42%,2.44%,0.29%,-4.72%,31,64.58%,75.00%,0.28,0.03,0.87,-0.07,0.37,0.05%,2.09%,1.11,01/02/1990,08/21/2015
SNDK,Sandisk Corp.,Technology,1.12%,-0.19%,0.06%,0.23%,1.58%,0.06%,-0.28%,0.20,0.13,0.05%,2.36%,0.64%,1.93%,0.11%,0.04%,1.46,8,5.24%,0.36%,2.55%,0.36,14.23%,5.60%,0.04%,1.05%,3.85%,-0.22%,-12.57%,22,45.83%,62.50%,0.79,0.28,0.59,-0.15,0.10,0.08%,3.63%,1.31,11/08/1995,08/21/2015
SNI,Scripps Networks Interactive Inc,Consumer Services,0.88%,-0.05%,0.03%,0.19%,1.12%,0.03%,-0.07%,0.81,0.43,0.04%,1.47%,1.78%,1.10%,0.29%,0.04%,0.87,6,11.19%,0.24%,1.47%,0.23,7.99%,2.47%,0.05%,1.14%,1.84%,0.21%,-2.00%,21,58.33%,83.33%,0.33,0.16,0.61,-0.08,0.54,0.05%,2.09%,0.99,07/01/2008,08/21/2015
SO,Southern Company,Public Utilities,1.56%,0.09%,0.04%,0.30%,2.05%,0.04%,0.14%,0.85,0.12,0.04%,1.93%,1.04%,0.81%,0.17%,0.02%,0.35,8,8.60%,0.14%,1.01%,0.90,4.25%,1.59%,0.03%,0.75%,1.23%,0.19%,-1.41%,28,58.33%,62.50%,0.36,0.13,0.36,-0.19,0.39,0.02%,1.11%,0.46,01/02/1990,08/21/2015
SPG,Simon Property Group,Consumer Services,0.67%,0.01%,0.03%,0.12%,0.86%,0.03%,-0.05%,0.99,0.46,0.03%,1.27%,2.82%,1.52%,0.47%,0.03%,1.30,8,24.96%,0.27%,1.89%,0.51,9.08%,4.39%,0.04%,1.96%,3.08%,0.28%,-3.00%,30,62.50%,75.00%,0.17,0.36,0.71,0.19,0.57,0.07%,3.02%,1.57,12/14/1993,08/21/2015
SPLS,Staples,Consumer Services,1.06%,0.59%,-0.04%,0.20%,1.40%,-0.03%,0.38%,0.00,0.40,0.04%,1.56%,5.98%,1.65%,0.97%,-0.05%,0.95,8,59.14%,0.26%,1.83%,0.86,12.59%,5.98%,-0.03%,4.83%,4.83%,0.79%,2.74%,30,62.50%,100.00%,0.00,0.15,0.53,0.75,1.22,0.05%,2.40%,1.12,03/26/1990,08/21/2015
SRCL,Stericycle,Basic Industries,1.21%,0.23%,0.07%,0.24%,1.69%,0.08%,-0.11%,0.98,0.47,0.04%,1.92%,2.06%,1.02%,0.34%,0.05%,0.83,8,17.76%,0.20%,1.40%,0.59,9.39%,2.96%,0.06%,1.03%,1.59%,0.10%,-1.60%,26,54.17%,62.50%,0.38,0.21,0.60,0.07,0.56,0.04%,1.60%,0.67,08/23/1996,08/21/2015
SRE,Sempra Energy,Public Utilities,0.99%,0.17%,0.04%,0.18%,1.24%,0.04%,0.21%,0.34,0.18,0.03%,1.40%,2.12%,0.90%,0.35%,0.04%,0.57,8,18.32%,0.16%,1.10%,0.61,8.34%,3.35%,0.04%,2.36%,2.97%,0.39%,-2.79%,30,62.50%,75.00%,0.08,0.47,0.53,0.09,0.73,0.03%,1.55%,0.77,06/29/1998,08/21/2015
STI,Suntrust Banks,Finance,0.65%,-0.09%,0.00%,0.12%,0.85%,0.00%,-0.04%,0.80,0.12,0.04%,1.66%,1.97%,1.63%,0.33%,-0.04%,1.63,8,16.87%,0.32%,2.23%,0.17,9.80%,3.98%,-0.03%,2.21%,3.44%,0.33%,-3.83%,30,62.50%,75.00%,0.22,0.09,0.75,0.03,0.34,0.08%,3.82%,1.73,01/02/1990,08/21/2015
STJ,St. Jude Medical,Health Care,1.30%,0.23%,0.03%,0.27%,1.85%,0.04%,0.02%,0.95,0.31,0.05%,2.00%,2.32%,1.30%,0.38%,0.02%,0.96,8,20.16%,0.24%,1.71%,0.74,11.44%,5.69%,0.03%,2.17%,5.34%,0.13%,-8.70%,27,56.25%,75.00%,0.33,0.38,0.58,0.11,0.52,0.04%,1.89%,0.76,01/02/1990,08/21/2015
STT,State Street Corp,Finance,0.55%,-0.07%,0.02%,0.10%,0.70%,0.02%,-0.16%,0.37,0.32,0.03%,1.46%,2.25%,1.24%,0.37%,0.00%,1.22,8,19.51%,0.24%,1.66%,0.17,8.95%,2.80%,0.01%,1.48%,1.83%,0.32%,-2.12%,27,56.25%,87.50%,0.24,0.05,0.75,0.10,0.52,0.09%,3.85%,1.76,01/02/1990,08/21/2015
STX,Seagate Technology.,Technology,1.22%,0.05%,0.06%,0.24%,1.65%,0.06%,-0.09%,0.67,0.13,0.06%,2.48%,2.22%,1.68%,0.37%,0.04%,1.24,8,19.21%,0.32%,2.26%,0.13,17.70%,5.59%,0.05%,0.54%,4.66%,0.26%,-5.61%,27,56.25%,50.00%,0.57,0.06,0.57,0.07,0.38,0.07%,3.27%,1.13,12/11/2002,08/21/2015
STZ,Constellation Brands Inc,Consumer Non-Durables,1.35%,0.51%,0.06%,0.29%,1.98%,0.07%,0.26%,0.17,0.40,0.05%,2.31%,3.96%,1.39%,0.65%,0.04%,1.00,8,36.44%,0.27%,1.92%,0.67,17.56%,4.68%,0.06%,1.77%,2.63%,0.26%,-2.72%,32,66.67%,87.50%,0.04,0.50,0.54,0.38,0.78,0.05%,2.23%,0.83,03/17/1992,08/21/2015
SWK,Stanley Black & Decker Inc,Capital Goods,0.76%,0.24%,0.02%,0.16%,1.09%,0.03%,0.24%,0.13,0.41,0.03%,1.15%,3.73%,1.41%,0.61%,0.03%,1.56,8,34.02%,0.29%,2.01%,0.78,15.98%,3.73%,0.04%,1.35%,1.35%,0.44%,0.03%,33,68.75%,100.00%,0.03,0.18,0.80,0.33,0.70,0.05%,2.17%,1.18,01/02/1990,08/21/2015
SWKS,Skyworks Solutions,Technology,1.39%,0.23%,0.10%,0.25%,1.72%,0.11%,-0.14%,0.81,0.41,0.05%,2.33%,3.68%,2.00%,0.60%,0.09%,1.33,8,33.53%,0.35%,2.47%,0.31,17.39%,4.32%,0.11%,2.34%,2.34%,0.14%,-1.24%,25,52.08%,75.00%,0.33,0.34,0.55,0.27,0.56,0.07%,3.31%,1.20,01/02/1990,08/21/2015
SWN,Southwestern Energy Company,Energy,1.10%,-0.06%,0.04%,0.21%,1.44%,0.03%,-0.46%,0.24,0.32,0.04%,1.68%,1.89%,1.57%,0.31%,0.03%,1.01,8,16.15%,0.32%,2.25%,0.22,10.59%,2.82%,0.04%,0.36%,1.75%,-0.23%,-2.30%,21,43.75%,62.50%,0.95,0.02,0.46,0.02,0.32,0.07%,3.17%,1.42,01/02/1990,08/21/2015
SYK,Stryker Corp.,Health Care,0.91%,0.13%,0.02%,0.17%,1.19%,0.02%,0.12%,0.36,0.39,0.03%,1.50%,1.97%,0.99%,0.33%,0.02%,0.91,8,16.87%,0.19%,1.31%,0.49,10.47%,3.52%,0.02%,2.05%,3.09%,0.31%,-2.92%,29,60.42%,62.50%,0.10,0.21,0.71,0.05,0.57,0.04%,1.62%,0.78,01/02/1990,08/21/2015
SYMC,Symantec Corp.,Technology,1.22%,-0.32%,0.02%,0.35%,2.41%,0.01%,0.03%,0.90,0.38,0.04%,1.86%,-0.35%,1.52%,-0.06%,0.01%,1.02,8,-2.76%,0.38%,2.65%,0.85,13.02%,4.57%,0.01%,-0.06%,0.50%,0.16%,-16.51%,26,54.17%,50.00%,0.57,0.39,0.40,-0.28,-0.05,0.05%,2.26%,0.95,03/26/1990,08/21/2015
SYY,Sysco Corp.,Consumer Non-Durables,1.01%,-0.11%,0.01%,0.19%,1.33%,0.01%,0.04%,0.95,0.35,0.04%,1.66%,0.71%,0.83%,0.12%,0.01%,0.64,8,5.80%,0.16%,1.11%,0.39,4.59%,2.38%,0.01%,1.14%,2.22%,0.40%,-4.60%,30,62.50%,62.50%,0.18,0.47,0.59,-0.26,0.25,0.03%,1.46%,0.67,01/02/1990,08/21/2015
T,AT&T Inc.,Public Utilities,0.88%,-0.07%,0.02%,0.17%,1.16%,0.01%,0.14%,0.76,0.46,0.03%,1.30%,1.00%,0.92%,0.17%,0.02%,0.70,8,8.27%,0.17%,1.15%,0.65,4.14%,2.44%,0.02%,1.19%,2.67%,0.28%,-5.34%,30,62.50%,75.00%,0.28,0.43,0.62,-0.18,0.33,0.03%,1.50%,0.77,01/02/1990,08/21/2015
TAP,Molson Coors Brewing Company,Consumer Non-Durables,1.53%,0.44%,0.06%,0.30%,2.11%,0.07%,0.50%,0.16,0.18,0.05%,2.25%,2.73%,1.19%,0.45%,0.03%,0.75,8,24.04%,0.22%,1.52%,0.85,9.57%,4.55%,0.04%,2.74%,3.58%,0.46%,-3.55%,29,60.42%,75.00%,0.05,0.14,0.50,0.20,0.68,0.04%,1.68%,0.62,01/02/1990,08/21/2015
TDC,Teradata Corp.,Technology,1.23%,0.04%,0.03%,0.23%,1.52%,0.03%,-0.06%,0.94,0.49,0.05%,2.04%,1.86%,1.50%,0.31%,0.02%,1.40,7,13.80%,0.31%,2.05%,0.30,12.40%,4.61%,0.02%,1.62%,4.31%,0.15%,-5.07%,23,54.76%,71.43%,0.48,0.10,0.75,0.01,0.37,0.06%,2.41%,0.95,10/01/2007,08/21/2015
TE,Teco Energy,Public Utilities,0.94%,0.06%,0.01%,0.19%,1.33%,0.01%,0.03%,0.88,0.45,0.03%,1.44%,1.66%,0.99%,0.28%,0.01%,0.72,8,14.10%,0.19%,1.30%,0.65,5.54%,2.62%,0.02%,1.62%,2.32%,0.16%,-1.84%,26,54.17%,62.50%,0.28,0.43,0.57,-0.02,0.49,0.04%,1.65%,0.81,01/02/1990,08/21/2015
TEL,Te Connectivity Ltd,Consumer Non-Durables,0.66%,0.07%,0.02%,0.14%,0.91%,0.02%,-0.15%,0.85,0.03,0.03%,1.39%,2.56%,1.38%,0.42%,0.02%,1.35,7,19.39%,0.28%,1.80%,0.45,12.62%,3.68%,0.03%,1.96%,2.12%,0.00%,-3.02%,21,50.00%,71.43%,0.21,0.37,0.81,0.14,0.58,0.05%,2.35%,1.16,06/14/2007,08/21/2015
TGT,Target Corp.,Consumer Services,0.91%,0.23%,0.00%,0.16%,1.11%,0.01%,0.11%,0.17,0.49,0.04%,1.59%,2.96%,1.14%,0.49%,0.00%,0.89,8,26.24%,0.20%,1.39%,0.49,11.03%,3.20%,0.01%,1.73%,1.72%,0.56%,-0.94%,30,62.50%,87.50%,0.02,0.41,0.65,0.26,0.81,0.05%,2.03%,0.95,01/02/1990,08/21/2015
THC,Tenet Healthcare Corp.,Health Care,2.15%,0.54%,0.06%,0.43%,2.97%,0.07%,0.39%,0.05,0.04,0.07%,3.01%,5.50%,2.67%,0.90%,0.02%,0.69,8,53.50%,0.51%,3.55%,0.89,25.07%,8.91%,0.04%,4.55%,6.74%,1.08%,-10.70%,30,62.50%,75.00%,0.01,0.08,0.20,0.38,0.59,0.09%,3.83%,1.15,02/22/1982,08/21/2015
TIF,Tiffany & Co.,Consumer Services,0.87%,0.09%,0.04%,0.18%,1.24%,0.04%,-0.01%,0.75,0.33,0.03%,1.49%,2.77%,1.54%,0.46%,0.04%,1.42,8,24.47%,0.30%,2.12%,0.56,18.66%,6.27%,0.05%,3.68%,4.14%,0.25%,-11.56%,29,60.42%,75.00%,0.21,0.24,0.68,0.16,0.50,0.06%,2.59%,1.25,01/02/1990,08/21/2015
TJX,Tjx Companies,Consumer Services,1.09%,0.25%,0.08%,0.20%,1.40%,0.09%,0.28%,0.27,0.41,0.04%,1.67%,2.65%,1.20%,0.44%,0.07%,0.89,8,23.29%,0.21%,1.47%,0.64,7.54%,3.05%,0.08%,3.07%,3.07%,0.20%,-0.57%,27,56.25%,62.50%,0.14,0.42,0.62,0.19,0.68,0.04%,1.82%,0.82,01/02/1990,08/21/2015
TMK,Torchmark Corp.,Finance,0.45%,-0.05%,0.03%,0.09%,0.60%,0.02%,-0.08%,0.66,0.12,0.03%,1.25%,1.79%,1.00%,0.30%,0.03%,1.21,8,15.22%,0.21%,1.45%,0.21,10.89%,3.53%,0.04%,1.84%,2.33%,0.18%,-5.14%,29,60.42%,62.50%,0.46,0.03,0.85,0.01,0.47,0.05%,2.41%,1.26,01/02/1990,08/21/2015
